title,href,info,support
,,"技巧一：添加合适的标签（标签是什么）
给问题添加合适的标签能让问题快速传播到合适的用户中，大大增加获得解答的几率；

技巧二：邀请合适的人
1.在问题评论中@ 果壳er。如果你知道问题涵盖的领域、专业范畴，可以通过”用户搜索“输入关键词找到相关用户，然后在问题评论中@ 相关用户，他们将收到召唤通知；...",8人支持
,,问题可以修改，但不能删除。因为一旦一个问题提出、有人参与回答之后，这个问题即是提问者和回答者的共同创造物，价值属于提问者和回答者双方。如果你觉得曾经的问题有欠妥当，可以对它进行修改。,4人支持
,,"果壳问答提倡理性、友善、向好奇心致敬的交流态度，符合提问规范的问题都是好问题。
如果有人对你发表无端的嘲讽或攻击性言论，可以发私信（给他发信）或致电果壳网客服（电话：010-85802928 ）。我们会及时进行沟通处理。 

想要知道自己的问题是否已经有人提过、是否已经有好答案？请在提问前先用关键词...",6人支持
什么样的问题比较受欢迎？什么样的问题会被删除？,http://www.guokr.com/question/83099/,"-涉及个人隐私及涉及敏感政治等问题,涉及以下内容的问题或答案将被删除：,-违反国家法律法规的内容及其它不合适内容",3人支持
听说今天是“国际接吻日”呀？真的有这个节日吗？,http://www.guokr.com/question/49649/,"这里列出了所有被联合国承认的国际性节日和纪念日，比如国际教师节（10月5日）、世界人口日（7月11日）、国际癌症日（2月4日）等等,在英国的一个周刊杂志《PRWeek》的网站上，我们找到一篇1999年的报道，题为《接吻把凡士林涂在了公众的嘴唇上》 [3],看来传言在这一点上并不准确，“国际接吻日”并非联合国认定的国际节日之一",53人支持
颜色鲜艳的小车更容易“撞小虫”么？,http://www.guokr.com/question/49547/,"无论虫子和鸟类是否对颜色存在偏爱，都不会影响到不同颜色的汽车遭受鸟粪、虫尸“袭击”的概率,挡风玻璃也可能会撞上小虫，但由于车主一般对玻璃清洗较勤快，比较少会出现虫子在玻璃上黏附很牢的现象,鸟类在飞行中显然不会有意“瞄准”某种颜色的车排便；即使是在静止时期，鸟类也通常停落在树上，而非汽车上",5人支持
蚊子包为什么越挠越痒？,http://www.guokr.com/question/40786/,"组胺的作用是增加血管通透性，让白细胞等免疫成分通过血管清除外来的蛋白质，而组织液也会随之从血管内渗出，进入组织，因此叮咬部位就会肿起一个红红的小包，这都是组胺在发挥作用的结果,这个原理也能解释另一个现象：刚刚被蚊子叮咬的时候还不会有感觉，要等过一会儿，组胺产生和运送到叮咬部位后，红肿和瘙痒才会产生,当这些蛋白质进入人体后，我们的免疫系统就会开始抵抗外物入侵",17人支持
台湾最近闹得很凶的那个塑化剂是什么？,http://www.guokr.com/question/38223/,"我们日常生活接触的很多塑料制品中，从塑料包装或容器、化妆品、玩具，到塑料管道、电缆外皮等建筑材料，都常常添加塑化剂,根据台湾媒体报道，原来，这些食品的上游生产厂商在向食品中添加一种“起云剂”的时候，为了降低成本，使用了更廉价的塑化剂DEHP,只是因为用塑化剂DEHP代替棕榈油，加到食品中后，能达到和正规“起云剂”比较相似的效果，所以有不良商家用DEHP来生产“起云剂”",9人支持
为什么睡醒后，特别是趴在桌子上睡醒后特容易打嗝？,http://www.guokr.com/question/37619/,"我们推测原因可能在于：饭后立刻午睡，特别是采取不正确的睡姿，可能会影响消化的进程，让食物在胃中停留更长时间，因而有可能也会因发酵而产生少量气体,不过这些气体通常会从消化道末端出口排出，而不会返回胃部,吃饭时随着食物进入胃中的少量气体会关在里面，等到饭后、胃部蠕动加快时，多余的气体才通过打饱嗝而被排出",18人支持
坐新车容易晕，是这样的吗？,http://www.guokr.com/question/35242/,"一家名为“国际技术评估中心”（the International Center for Technology Assessment）的机构2000年曾发布过一项研究报告[1]，调查了五种类别的污染物在,上述污染物质在车内空气中的浓度要大大高于车外[1,2]，因此适当保持车内外的空气流通有助于降低污染物浓度,对于挥发性有机化合物，有学者总结了1989年到2006年的一系列研究报告之后认为：室内绿色植物对于挥发性有机物的移除作用非常小，甚至可能根本无效[6]",5人支持
果壳问答中等待回答是根据什么来排序的呢？,http://www.guokr.com/question/562713/,等待回答的规则以前是“有0-3个答案的问题”，现在修改成“有1-3个答案的问题”，这是因为近期广告很多，各种广告都会自动出现在等待回答里，影响社区质量，所以就做了这样的调整,6人支持
果壳问答中 就某些答案的“评论”和“反对”也可以人工删除吗？,http://www.guokr.com/question/562135/,"您好,果壳问答管理员是可以人工删除讨论的，但是并不能取消任何人的投票（支持、反对、感谢）,您提到的这个情况不是管理员操作的",5人支持
"「如何才能过一个“高端大气上档次”又有“技术含量”的春节」评选出的最终获奖者名单和最佳问答有哪些？
",http://www.guokr.com/question/442460/,"提问者：@海海伦 ，提问获得60个人的关注,提问者：@粉兔子 ，提问获得102个人的关注,提问者：@呆头鹅 ，提问获得63个人的关注",10人支持
情人节送礼物没送好怎么办？如何补救？,http://www.guokr.com/question/440629/,"失败方案 一：送错玫瑰,别得意，不是所有巧克力都是健康食品，送错了、吃多了疾病危险照样升，妹子可不领情,失败方案三：送错红豆",12人支持
如何才能过一个”高端大气上档次”又有“技术含量”的春节？,http://www.guokr.com/question/439038/,"在这样喜庆的气氛里，有些人会选择用烟花爆竹助兴吧，（这样的空气质量，也许踩气球一样也可以增加节日的气氛），如果还是放不开“烟花爆竹”，那么燃放时的注意事项要谨记,我们平安地度过了“世界末日”，告别了不平凡的2012，也在朝霞中迎接了2013，现在春节将至，大家是不是踌躇满志地准备踏上归家的旅途,为什么像“年兽”这种听起来就不靠谱的东西在古代竟然能引发“过年”的习俗，而且还能蔓延到亚洲这么多国家",13人支持
“标签”是什么？,http://www.guokr.com/question/429533/,"在添加或修改标签时，如果你输入的标签不存在，系统会自动提示你是否创建新标签,标签是话题集，一个标签聚集一类特定主题的内容,提问后，在标签栏输入关键词，选取合适的标签",8人支持
“百度知道网友”是谁啊？,http://www.guokr.com/question/301141/,"我们希望让科学有趣的知识传播的更远，让更多的人体会到科学的魅力,事情是这样的，果壳问答正在和百度知道进行合作，以便让科学传播这件事能走得更远、覆盖得更全面,最近大家都发现了“百度知道网友”这个用户在果壳问答的小天地里异常活跃",67人支持
为什么果壳问答不能分享单条答案？,http://www.guokr.com/question/152436/,"每条答案右下方都添加了分享按钮，可以将这条答案分享在新浪微博、腾讯微博、人人网、豆瓣和QQ空间上,在最新上线的果壳网新版本中，增加了答案分享和相似问题提示这两项功能,其中分享到新浪微博和腾讯微博采用长微博图片的形式",12人支持
  浅论利用电场力创造能量，推翻能量守恒定律,http://www.guokr.com/question/99706/,"因此我们关闭了这个帖子,您的这个帖子并非一个问题，不适合在“果壳问答”这个场所进行讨论,com",0人支持
在果壳问答中可否使用“@”功能？,http://www.guokr.com/question/99618/,"由于问答的评论是默认折叠的，对方点击提示后，会跳转到评论所在的问题或答案处，此时只要展开评论即可看到“@”的信息内容,当对方点击这一提示，会跳转到相应的问题或答案的位置,在果壳问答提问和回答时，可以使用“@+昵称”的方式，将信息传达给指定用户",7人支持
月经后一周是减肥黄金周吗？月经期间吃高热量的东西也不会胖吗？,http://www.guokr.com/question/34720/,"文章指出：“吸收功能下降并非不吸收，如果进食过多热量，同样会转化为脂肪储存起来，在任何阶段都不应该认为‘吸收不好，不会发胖’而暴饮暴食,“Horton等研究者在2002年发表的文章中，将月经周期分为早卵泡期（雌、孕激素水平均低）、卵泡中期（雌激素升高，孕激素水平低）和黄体中期（雌、孕激素水平均高）进行实验，在90分钟中等强度体力活动中,在Vaiksaar等研究者2011年发表的文章中，将月经周期分为卵泡期和黄体期进行实验，发现在1小时测功仪练习中，女赛艇运动员的能量消耗、氧耗水平、运动和静息的心率水平、能量物质的氧化水平，以及体内乳",13人支持
【求证实/粉碎】商用量子计算机已经发布？,http://www.guokr.com/question/34540/,"他发现分析模拟量子物理世界所需要的计算能力远远超过了经典计算机所能达到的能力，而用实验室中一个可控的量子系统（比如：一台量子计算机）来模拟和计算另外一个我们感兴趣的量子系统（比如：宇宙），会非常高效,在发布D-Wave One之前，他们在《Nature》上发表了一篇论文，展示了他们所研究的量子处理器，里面包含8个量子比特，可以看到某些量子效应,如果量子计算机的发展进程如同经典计算机一样，即其规模随时间指数递增的话，那么30年后，量子比特数会达到1000这个量级，通用的量子计算机有可能出现",11人支持
关于白色运动鞋久置后出现的黄色污物,http://www.guokr.com/question/33004/,"除了污物，衣物最无法避免的问题还有日晒与洗涤，两者不只会破坏漂白剂的氧化作用、还原出布料的本色，还会逐渐导致增白剂的效率降低,于是，晾晒球鞋时包裹报纸便成了一种习惯，这至少带来了两种效果：避免阳光直射面料，同时增大蒸发面积，更快地吸出鞋面水份，延缓了染料的失色过程,由于生产衣物的原始布料白度通常不高，生产过程中会用化学方法进行漂白",17人支持
闭上眼睛看到的是什么？,http://www.guokr.com/question/32900/,"视觉后像可以分为正后像（原视野中亮的地方，残像中也亮）和负后像（原视野和残像的明暗和颜色关系正好相反）,尝试一下就可以发现：闭上眼睛后短时间内看到的光斑属于正后像,大部分资料将这一现象解释为：视觉感受器和相关神经细胞在光线的刺激终止之后，不会立刻停止工作，而是会在一段时间内保持活动，向大脑输送刺激信号",16人支持
用水可以洗掉锈吗？,http://www.guokr.com/question/26879/,"使用时，将一块洗车泥握在手里，在车身表面摩擦，从而使粘在车身表面的物质与车身分离、裹挟着清理下来,这类产品的主要有效成分都比较类似，是一种粘性的泥土状物质（事实上，这类产品以前又被称作“汽车粘土”）,而汽车表面产生的那些小点状的污点，其最常见的成因是车身表面沾了一些微小的污质，例如沙石等，在周围形成了锈迹",5人支持
